Topic,Count,Macro,Name,TopWords,Representation
78,103,Epidemiology & Public Health,asthma · allergic · allergy,asthma; allergic; allergy; atopy; ige; atopic; children; airway; childhood; inverse,"['asthma', 'allergic', 'allergy', 'atopy', 'ige', 'atopic', 'children', 'airway', 'childhood', 'inverse']"
79,151,Oncology & Pathology,aig · autoimmune · gastritis,aig; autoimmune; gastritis; atrophic; parietal; atrophy; aag; neuroendocrine; patients; anemia,"['aig', 'autoimmune', 'gastritis', 'atrophic', 'parietal', 'atrophy', 'aag', 'neuroendocrine', 'patients', 'anemia']"
80,142,Oncology & Pathology,atrophic · cag · gastritis,atrophic; cag; gastritis; chronic; ag; gastropanel; atrophy; pepsinogen; diagnosis; gastric,"['atrophic', 'cag', 'gastritis', 'chronic', 'ag', 'gastropanel', 'atrophy', 'pepsinogen', 'diagnosis', 'gastric']"
81,103,Oncology & Pathology,ebv · epsteinbarr · virus,ebv; epsteinbarr; virus; ebvagc; coinfection; gc; ebvassociated; gastric; cancer; ebvpositive,"['ebv', 'epsteinbarr', 'virus', 'ebvagc', 'coinfection', 'gc', 'ebvassociated', 'gastric', 'cancer', 'ebvpositive']"
82,125,Basic Mechanisms,pregnancy · women · pregnant,pregnancy; women; pregnant; hyperemesis; gravidarum; hg; preeclampsia; maternal; sperm; gestational,"['pregnancy', 'women', 'pregnant', 'hyperemesis', 'gravidarum', 'hg', 'preeclampsia', 'maternal', 'sperm', 'gestational']"
83,97,Extra-gastric Diseases,nafld · liver · fatty,nafld; liver; fatty; nonalcoholic; masld; metabolic; steatosis; disease; infection; fibrosis,"['nafld', 'liver', 'fatty', 'nonalcoholic', 'masld', 'metabolic', 'steatosis', 'disease', 'infection', 'fibrosis']"
84,98,Epidemiology & Public Health,bleeding · ugib · upper,bleeding; ugib; upper; nonvariceal; gastrointestinal; gib; mortality; management; rebleeding; acute,"['bleeding', 'ugib', 'upper', 'nonvariceal', 'gastrointestinal', 'gib', 'mortality', 'management', 'rebleeding', 'acute']"
85,99,Oncology & Pathology,cancers · virus · attributable,cancers; virus; attributable; agents; cancer; hepatitis; infectious; see; infections; hpv,"['cancers', 'virus', 'attributable', 'agents', 'cancer', 'hepatitis', 'infectious', 'see', 'infections', 'hpv']"
86,95,Basic Mechanisms,ghrelin · leptin · plasma,ghrelin; leptin; plasma; levels; obestatin; serum; pgml; circulating; body; acylated,"['ghrelin', 'leptin', 'plasma', 'levels', 'obestatin', 'serum', 'pgml', 'circulating', 'body', 'acylated']"
87,91,Oncology & Pathology,pancreatic · pancreatitis · cancer,pancreatic; pancreatitis; cancer; risk; pc; aip; association; studies; autoimmune; pancreas,"['pancreatic', 'pancreatitis', 'cancer', 'risk', 'pc', 'aip', 'association', 'studies', 'autoimmune', 'pancreas']"
88,171,Basic Mechanisms,t4ss · secretion · cag,t4ss; secretion; cag; iv; cagl; type; caga; translocation; system; host,"['t4ss', 'secretion', 'cag', 'iv', 'cagl', 'type', 'caga', 'translocation', 'system', 'host']"
89,117,Oncology & Pathology,methylation · promoter · dna,methylation; promoter; dna; cpg; runx3; aberrant; gc; cancer; genes; cihm,"['methylation', 'promoter', 'dna', 'cpg', 'runx3', 'aberrant', 'gc', 'cancer', 'genes', 'cihm']"
90,111,Diagnostics & AI,images · learning · accuracy,ai; images; learning; accuracy; intelligence; model; artificial; performance; models; machine,"['ai', 'images', 'learning', 'accuracy', 'intelligence', 'model', 'artificial', 'performance', 'models', 'machine']"
91,127,Basic Mechanisms,acid · secretion · gastrin,acid; secretion; gastrin; parietal; histamine; gastric; ecl; the; cell; mucosal,"['acid', 'secretion', 'gastrin', 'parietal', 'histamine', 'gastric', 'ecl', 'the', 'cell', 'mucosal']"
92,79,Extra-gastric Diseases,urticaria · csu · chronic,urticaria; cu; csu; chronic; ciu; spontaneous; patients; skin; hp; asst,"['urticaria', 'cu', 'csu', 'chronic', 'ciu', 'spontaneous', 'patients', 'skin', 'hp', 'asst']"
93,159,Clinical Therapy,clarithromycin · therapy · triple,clarithromycin; therapy; triple; eradication; amoxicillin; mg; rates; resistance; metronidazole; regimen,"['clarithromycin', 'therapy', 'triple', 'eradication', 'amoxicillin', 'mg', 'rates', 'resistance', 'metronidazole', 'regimen']"
94,102,Diagnostics & AI,rut · test · rapid,rut; test; rapid; urease; sensitivity; positive; histology; specificity; accuracy; biopsy,"['rut', 'test', 'rapid', 'urease', 'sensitivity', 'positive', 'histology', 'specificity', 'accuracy', 'biopsy']"
95,124,Extra-gastric Diseases,itp · platelet · purpura,itp; platelet; purpura; thrombocytopenic; idiopathic; count; counts; eradication; citp; response,"['itp', 'platelet', 'purpura', 'thrombocytopenic', 'idiopathic', 'count', 'counts', 'eradication', 'citp', 'response']"
96,135,Basic Mechanisms,esd · egc · endoscopic,esd; egc; endoscopic; submucosal; dissection; resection; metachronous; early; lesion; recurrence,"['esd', 'egc', 'endoscopic', 'submucosal', 'dissection', 'resection', 'metachronous', 'early', 'lesion', 'recurrence']"
97,120,Clinical Therapy,ppis · ppi · pump,ppis; ppi; pump; proton; inhibitors; use; acid; indications; longterm; pcabs,"['ppis', 'ppi', 'pump', 'proton', 'inhibitors', 'use', 'acid', 'indications', 'longterm', 'pcabs']"
98,108,Basic Mechanisms,vitamin · b12 · deficiency,vitamin; b12; deficiency; cobalamin; folate; vitamins; homocysteine; supplementation; serum; levels,"['vitamin', 'b12', 'deficiency', 'cobalamin', 'folate', 'vitamins', 'homocysteine', 'supplementation', 'serum', 'levels']"
99,110,Basic Mechanisms,flagellar · motility · flagella,flagellar; motility; flagella; motor; flagellum; mutant; assembly; proteins; export; flha,"['flagellar', 'motility', 'flagella', 'motor', 'flagellum', 'mutant', 'assembly', 'proteins', 'export', 'flha']"
100,87,Basic Mechanisms,parkinsons · levodopa · motor,pd; parkinsons; levodopa; motor; parkinsonism; disease; pdl1; fluctuations; ip; ldopa,"['pd', 'parkinsons', 'levodopa', 'motor', 'parkinsonism', 'disease', 'pdl1', 'fluctuations', 'ip', 'ldopa']"
101,132,Basic Mechanisms,bmi · obesity · cholesterol,bmi; obesity; cholesterol; body; mass; metabolic; lipoprotein; lipid; index; hdlc,"['bmi', 'obesity', 'cholesterol', 'body', 'mass', 'metabolic', 'lipoprotein', 'lipid', 'index', 'hdlc']"
102,89,Basic Mechanisms,omvs · vesicles · outer,omvs; vesicles; outer; membrane; evs; omv; cells; pyloriderived; extracellular; host,"['omvs', 'vesicles', 'outer', 'membrane', 'evs', 'omv', 'cells', 'pyloriderived', 'extracellular', 'host']"
103,107,Basic Mechanisms,methylation · cpg · hypermethylation,methylation; cpg; hypermethylation; dna; epigenetic; promoter; genes; methylated; aberrant; gastric,"['methylation', 'cpg', 'hypermethylation', 'dna', 'epigenetic', 'promoter', 'genes', 'methylated', 'aberrant', 'gastric']"
104,83,Oncology & Pathology,mir · mirnas · mirna · expression · cancer,mir; mirnas; gc; mirna; expression; cancer; micrornas; gastric; lncrna; biomarkers,"['mir', 'mirnas', 'gc', 'mirna', 'expression', 'cancer', 'micrornas', 'gastric', 'lncrna', 'biomarkers']"
105,122,Epidemiology & Public Health,intake · dietary · alcohol,intake; dietary; alcohol; consumption; salt; infection; risk; food; association; diet,"['intake', 'dietary', 'alcohol', 'consumption', 'salt', 'infection', 'risk', 'food', 'association', 'diet']"
106,106,Basic Mechanisms,dcs · dendritic · cells,dcs; dendritic; dc; cells; il; response; maturation; immune; responses; cell,"['dcs', 'dendritic', 'dc', 'cells', 'il', 'response', 'maturation', 'immune', 'responses', 'cell']"
107,108,Clinical Therapy,vonoprazan · vonoprazanbased · vpz,vonoprazan; vonoprazanbased; vpz; triple; therapy; eradication; vpzbased; ppibased; mg; firstline,"['vonoprazan', 'vonoprazanbased', 'vpz', 'triple', 'therapy', 'eradication', 'vpzbased', 'ppibased', 'mg', 'firstline']"
108,77,Clinical Therapy,bismuth · cbs · complexes,bismuth; cbs; complexes; bismuthiii; drugs; compounds; bi; activity; biiii; subcitrate,"['bismuth', 'cbs', 'complexes', 'bismuthiii', 'drugs', 'compounds', 'bi', 'activity', 'biiii', 'subcitrate']"
109,87,Epidemiology & Public Health,dyspeptic · ethiopia · prevalence,dyspeptic; ethiopia; prevalence; patients; among; aor; seroprevalence; infection; was; study,"['dyspeptic', 'ethiopia', 'prevalence', 'patients', 'among', 'aor', 'seroprevalence', 'infection', 'was', 'study']"
110,72,Basic Mechanisms,tlr4 · tlr2 · polymorphisms,tlr4; tlr2; polymorphisms; tolllike; polymorphism; tlr9; tlr1; receptor; tlr; asp299gly,"['tlr4', 'tlr2', 'polymorphisms', 'tolllike', 'polymorphism', 'tlr9', 'tlr1', 'receptor', 'tlr', 'asp299gly']"
111,93,Diagnostics & AI,stain · biopsies · staining,stain; biopsies; staining; stains; biopsy; giemsa; ihc; detection; specimens; de,"['stain', 'biopsies', 'staining', 'stains', 'biopsy', 'giemsa', 'ihc', 'detection', 'specimens', 'de']"
112,89,Clinical Therapy,ppi · ppis · pump,ppi; ppis; pump; proton; use; longterm; inhibitors; inhibitor; gastrin; users,"['ppi', 'ppis', 'pump', 'proton', 'use', 'longterm', 'inhibitors', 'inhibitor', 'gastrin', 'users']"
113,144,Oncology & Pathology,dna · damage · repair,dna; damage; repair; oxidative; cells; breaks; muty; stress; ros; carcinogenesis,"['dna', 'damage', 'repair', 'oxidative', 'cells', 'breaks', 'muty', 'stress', 'ros', 'carcinogenesis']"
114,68,Basic Mechanisms,thyroid · lt4 · hypothyroidism,thyroid; lt4; hypothyroidism; levothyroxine; tsh; autoimmune; thyroiditis; absorption; thyroxine; hashimotos,"['thyroid', 'lt4', 'hypothyroidism', 'levothyroxine', 'tsh', 'autoimmune', 'thyroiditis', 'absorption', 'thyroxine', 'hashimotos']"
115,121,Oncology & Pathology,esophageal · adenocarcinoma · squamous,esophageal; adenocarcinoma; squamous; oesophageal; escc; eac; junction; carcinoma; incidence; esophagus,"['esophageal', 'adenocarcinoma', 'squamous', 'oesophageal', 'escc', 'eac', 'junction', 'carcinoma', 'incidence', 'esophagus']"
116,67,Clinical Therapy,rifabutin · rifabutinbased · rifaximin,rifabutin; rifabutinbased; rifaximin; rescue; mg; therapy; regimen; eradication; triple; amoxicillin,"['rifabutin', 'rifabutinbased', 'rifaximin', 'rescue', 'mg', 'therapy', 'regimen', 'eradication', 'triple', 'amoxicillin']"
117,82,Extra-gastric Diseases,iron · anemia · ida,iron; anemia; ida; de; deficiency; les; et; anaemia; la; des,"['iron', 'anemia', 'ida', 'de', 'deficiency', 'les', 'et', 'anaemia', 'la', 'des']"
118,91,Basic Mechanisms,microbiota · gut · microbiome,microbiota; gut; microbiome; composition; dysbiosis; logg; spp; microbial; diseases; bacteria,"['microbiota', 'gut', 'microbiome', 'composition', 'dysbiosis', 'logg', 'spp', 'microbial', 'diseases', 'bacteria']"
119,72,Basic Mechanisms,copd · lung · pulmonary,copd; lung; pulmonary; respiratory; obstructive; ipf; bronchitis; chronic; bronchiectasis; osas,"['copd', 'lung', 'pulmonary', 'respiratory', 'obstructive', 'ipf', 'bronchitis', 'chronic', 'bronchiectasis', 'osas']"
120,88,Basic Mechanisms,dnaa · replication · helicase,dnaa; replication; helicase; dna; binding; oric; dnab; domain; protein; chromosome,"['dnaa', 'replication', 'helicase', 'dna', 'binding', 'oric', 'dnab', 'domain', 'protein', 'chromosome']"
121,98,Diagnostics & AI,endoscopy · upper · endoscopic,endoscopy; upper; endoscopic; magnifying; nbi; gi; imaging; diagnostic; gastrointestinal; lesions,"['endoscopy', 'upper', 'endoscopic', 'magnifying', 'nbi', 'gi', 'imaging', 'diagnostic', 'gastrointestinal', 'lesions']"
122,72,Basic Mechanisms,sclerosis · ssc · systemic,ms; sclerosis; ssc; systemic; multiple; nmosd; igg; csf; controls; autoimmune,"['ms', 'sclerosis', 'ssc', 'systemic', 'multiple', 'nmosd', 'igg', 'csf', 'controls', 'autoimmune']"
123,60,Basic Mechanisms,glaucoma · serous · csc,glaucoma; serous; csc; chorioretinopathy; poag; central; cscr; aau; retinal; openangle,"['glaucoma', 'serous', 'csc', 'chorioretinopathy', 'poag', 'central', 'cscr', 'aau', 'retinal', 'openangle']"
124,88,Basic Mechanisms,peptides · peptide · antimicrobial,peptides; peptide; antimicrobial; activity; against; hpa3; cathelicidin; antiadhesive; hpa3nt3; amps,"['peptides', 'peptide', 'antimicrobial', 'activity', 'against', 'hpa3', 'cathelicidin', 'antiadhesive', 'hpa3nt3', 'amps']"
125,71,Basic Mechanisms,autophagy · autophagic · cells,autophagy; autophagic; cells; intracellular; autophagyrelated; lysosomal; vaca; atg16l1; autophagosomes; apoptosis,"['autophagy', 'autophagic', 'cells', 'intracellular', 'autophagyrelated', 'lysosomal', 'vaca', 'atg16l1', 'autophagosomes', 'apoptosis']"
126,89,Basic Mechanisms,tlr4 · tolllike · tlr2,tlr4; tolllike; tlr2; tlrs; tlr5; tlr; myd88; lps; receptor; receptors,"['tlr4', 'tolllike', 'tlr2', 'tlrs', 'tlr5', 'tlr', 'myd88', 'lps', 'receptor', 'receptors']"
127,94,Oncology & Pathology,microbiome · nucleatum · cancer,microbiome; nucleatum; cancer; microbiota; gut; colorectal; crc; cancers; microbial; fusobacterium,"['microbiome', 'nucleatum', 'cancer', 'microbiota', 'gut', 'colorectal', 'crc', 'cancers', 'microbial', 'fusobacterium']"
128,96,Clinical Therapy,dual · vonoprazan · therapy,dual; va; vonoprazan; therapy; amoxicillin; vonoprazanamoxicillin; mg; eradication; adverse; day,"['dual', 'va', 'vonoprazan', 'therapy', 'amoxicillin', 'vonoprazanamoxicillin', 'mg', 'eradication', 'adverse', 'day']"
129,139,Oncology & Pathology,metaplasia · intestinal · atrophy,im; metaplasia; intestinal; atrophy; antrum; ag; corpus; gastritis; gastric; eradication,"['im', 'metaplasia', 'intestinal', 'atrophy', 'antrum', 'ag', 'corpus', 'gastritis', 'gastric', 'eradication']"
130,112,Clinical Therapy,quadruple · therapy · triple,quadruple; mg; therapy; triple; eradication; group; bismuth; amoxicillin; treatment; days,"['quadruple', 'mg', 'therapy', 'triple', 'eradication', 'group', 'bismuth', 'amoxicillin', 'treatment', 'days']"
131,121,Diagnostics & AI,screening · cancer · abc,screening; cancer; gc; abc; gastric; highrisk; risk; for; endoscopic; endoscopy,"['screening', 'cancer', 'gc', 'abc', 'gastric', 'highrisk', 'risk', 'for', 'endoscopic', 'endoscopy']"
132,65,Epidemiology & Public Health,resistance · children · metronidazole,resistance; children; metronidazole; antibiotic; clarithromycin; strains; amoxicillin; susceptibility; pediatric; rates,"['resistance', 'children', 'metronidazole', 'antibiotic', 'clarithromycin', 'strains', 'amoxicillin', 'susceptibility', 'pediatric', 'rates']"
133,61,Clinical Therapy,furazolidone · quadruple · furazolidonebased,furazolidone; mg; quadruple; furazolidonebased; eradication; regimen; regimens; furazolidonecontaining; bismuth; amoxicillin,"['furazolidone', 'mg', 'quadruple', 'furazolidonebased', 'eradication', 'regimen', 'regimens', 'furazolidonecontaining', 'bismuth', 'amoxicillin']"
134,83,Basic Mechanisms,p53 · ecadherin · htra,p53; ecadherin; htra; expression; mdm2; cleavage; suppressor; runx3; protein; gastric,"['p53', 'ecadherin', 'htra', 'expression', 'mdm2', 'cleavage', 'suppressor', 'runx3', 'protein', 'gastric']"
135,57,Clinical Therapy,rdxa · frxa · metronidazole,rdxa; frxa; metronidazole; mutations; resistance; mtz; isolates; mutation; genes; resistant,"['rdxa', 'frxa', 'metronidazole', 'mutations', 'resistance', 'mtz', 'isolates', 'mutation', 'genes', 'resistant']"
136,51,Extra-gastric Diseases,rosacea · skin · sibo,rosacea; skin; sibo; demodex; cutaneous; facial; folliculorum; pustules; flushing; papules,"['rosacea', 'skin', 'sibo', 'demodex', 'cutaneous', 'facial', 'folliculorum', 'pustules', 'flushing', 'papules']"
137,70,Epidemiology & Public Health,bleeding · ulcer · rebleeding,bleeding; ulcer; rebleeding; peptic; pub; mortality; ulcers; endoscopic; patients; upper,"['bleeding', 'ulcer', 'rebleeding', 'peptic', 'pub', 'mortality', 'ulcers', 'endoscopic', 'patients', 'upper']"
138,103,Oncology & Pathology,lesions · precancerous · dysplasia,lesions; precancerous; dysplasia; premalignant; gastric; surveillance; metaplasia; endoscopic; cancer; intestinal,"['lesions', 'precancerous', 'dysplasia', 'premalignant', 'gastric', 'surveillance', 'metaplasia', 'endoscopic', 'cancer', 'intestinal']"
139,80,Basic Mechanisms,fur · iron · sodb,fur; iron; sodb; regulator; uptake; ferric; regulation; napa; proteins; protein,"['fur', 'iron', 'sodb', 'regulator', 'uptake', 'ferric', 'regulation', 'napa', 'proteins', 'protein']"
140,55,Basic Mechanisms,bariatric · surgery · preoperative,bariatric; surgery; hp; preoperative; de; undergoing; bypass; obese; rygb; obesity,"['bariatric', 'surgery', 'hp', 'preoperative', 'de', 'undergoing', 'bypass', 'obese', 'rygb', 'obesity']"
141,64,Basic Mechanisms,eoe · eosinophilic · eosinophils,eoe; eosinophilic; eosinophils; eosinophilia; eosinophil; esophagitis; esophageal; mast; allergic; egids,"['eoe', 'eosinophilic', 'eosinophils', 'eosinophilia', 'eosinophil', 'esophagitis', 'esophageal', 'mast', 'allergic', 'egids']"
142,180,Basic Mechanisms,immune · innate · responses,immune; innate; responses; response; macrophages; host; cells; immunity; mice; inflammatory,"['immune', 'innate', 'responses', 'response', 'macrophages', 'host', 'cells', 'immunity', 'mice', 'inflammatory']"
143,51,Epidemiology & Public Health,hiv · hivpositive · hivinfected,hiv; hivpositive; hivinfected; hivnegative; cd4; antiretroviral; immunodeficiency; coinfection; haart; prevalence,"['hiv', 'hivpositive', 'hivinfected', 'hivnegative', 'cd4', 'antiretroviral', 'immunodeficiency', 'coinfection', 'haart', 'prevalence']"
144,61,Oncology & Pathology,metachronous · resection · esd,metachronous; resection; esd; after; endoscopic; eradication; group; cancer; early; mgc,"['metachronous', 'resection', 'esd', 'after', 'endoscopic', 'eradication', 'group', 'cancer', 'early', 'mgc']"
145,87,Basic Mechanisms,gastrectomy · sleeve · lsg,gastrectomy; sleeve; lsg; laparoscopic; postoperative; preoperative; specimens; findings; surgery; histopathologic,"['gastrectomy', 'sleeve', 'lsg', 'laparoscopic', 'postoperative', 'preoperative', 'specimens', 'findings', 'surgery', 'histopathologic']"
146,54,Oncology & Pathology,microbiota · microbial · carcinogenesis,microbiota; microbial; carcinogenesis; gastric; gc; microbiome; cancer; diversity; dysbiosis; bacteria,"['microbiota', 'microbial', 'carcinogenesis', 'gastric', 'gc', 'microbiome', 'cancer', 'diversity', 'dysbiosis', 'bacteria']"
147,67,Clinical Therapy,ppi · triple · therapy,ppi; triple; therapy; eradication; proton; pump; day; ppibased; ppis; inhibitor,"['ppi', 'triple', 'therapy', 'eradication', 'proton', 'pump', 'day', 'ppibased', 'ppis', 'inhibitor']"
148,71,Basic Mechanisms,extragastric · diseases · purpura,extragastric; diseases; purpura; manifestations; idiopathic; thrombocytopenic; disorders; studies; neurological; role,"['extragastric', 'diseases', 'purpura', 'manifestations', 'idiopathic', 'thrombocytopenic', 'disorders', 'studies', 'neurological', 'role']"
149,85,Basic Mechanisms,itp · thrombocytopenia · platelet,itp; thrombocytopenia; platelet; count; immune; secondary; platelets; counts; de; patients,"['itp', 'thrombocytopenia', 'platelet', 'count', 'immune', 'secondary', 'platelets', 'counts', 'de', 'patients']"
150,90,Basic Mechanisms,virus · pathogens · cmv,virus; pathogens; cmv; infections; infectious; gondii; herpes; cytomegalovirus; toxoplasma; simplex,"['virus', 'pathogens', 'cmv', 'infections', 'infectious', 'gondii', 'herpes', 'cytomegalovirus', 'toxoplasma', 'simplex']"
151,72,Basic Mechanisms,activation · kinase · nfb,activation; kinase; nfb; nfkappab; traf1; tak1; hkalpha; phosphorylation; nuclear; cells,"['activation', 'kinase', 'nfb', 'nfkappab', 'traf1', 'tak1', 'hkalpha', 'phosphorylation', 'nuclear', 'cells']"
152,105,Basic Mechanisms,proteins · shape · disulfide,proteins; shape; disulfide; protein; structure; helical; domain; hp0231; cell; crystal,"['proteins', 'shape', 'disulfide', 'protein', 'structure', 'helical', 'domain', 'hp0231', 'cell', 'crystal']"
153,62,Diagnostics & AI,screening · costeffectiveness · cost,screening; costeffectiveness; cost; costs; strategy; costeffective; qaly; qalys; per; incremental,"['screening', 'costeffectiveness', 'cost', 'costs', 'strategy', 'costeffective', 'qaly', 'qalys', 'per', 'incremental']"
154,66,Basic Mechanisms,caga · epithelial · cells,caga; epithelial; cells; expression; cell; gastric; signaling; oncoprotein; alphapix; protein,"['caga', 'epithelial', 'cells', 'expression', 'cell', 'gastric', 'signaling', 'oncoprotein', 'alphapix', 'protein']"
155,62,Basic Mechanisms,mmp · matrix · timp,mmp; matrix; timp; mmps; mt; metalloproteinases; expression; metalloproteinase; secretion; mmp9,"['mmp', 'matrix', 'timp', 'mmps', 'mt', 'metalloproteinases', 'expression', 'metalloproteinase', 'secretion', 'mmp9']"
156,46,Basic Mechanisms,vitamin · vdr · ngml,vitamin; d3; vdr; ngml; vdp1; ohd; vd3; deficiency; vitd3; levels,"['vitamin', 'd3', 'vdr', 'ngml', 'vdp1', 'ohd', 'vd3', 'deficiency', 'vitd3', 'levels']"
